00:00|двенадцать часов ночи|В двенадцать часов ночи еще танцевали. Элен, не имевшая достойного кавалера, сама предложила мазурку Борису.|Война и мир. Том 3|Лев Николаевич Толстой|sfw
00:00|полночь|Была лунная зимняя полночь, мы ночевали на хуторе в Тамбовской губернии, по пути в Петербург с юга, и спали в детской, единственной теплой комнате во всем доме.|Новый год|Иван Бунин|sfw
00:00|полночь|-- Как долго ждать! Уже и полночь прошла.|Мудрые девы|Фёдор Сологуб|sfw
00:00|полночь|Страшное время -- полночь в дебрях леса.|Трущёбные люди|Владимир Гиляровский|sfw
00:00|полночь|Несравненно ужаснее и отвратительнее полночь в трущобах большого города, в трущобах блестящей, многолюдной столицы. И чем богаче, обширнее столица тем ужаснее трущобы...|Трущёбные люди|Владимир Гиляровский|sfw
00:00|полночь|В полночь они заботятся о будущей ночи, в полночь они устраивают свои ужасные оргии и топят в них воспоминания о своей -- прежней, лучшей жизни.|Трущёбные люди|Владимир Гиляровский|sfw
00:00|полночь|В полночь он услышал голос помощника, звавший его на палубу. Ещё через несколько минут боцман услышал голос капитана, звавший его на палубу.|Самсон Назорей|Владимир Жаботинский|sfw
00:00|полночь|Пропивая как-то в "Бедных людях" мелкий гонорар, он подслушал разговор двух известных телешоуменов - дело было за полночь, и они продолжали начатую в другом месте пьянку.|Generation "П"|Виктор Пелевин|sfw
00:00|первый час ночи|Шел первый час ночи. Дождь лился по крыше ровный и цельный, точно вся ядовитая, бесформенная и сплошная скука, которая гнездилась на земле, собралась и впиталась в его капли.|Бабаев|Сергей Николаевич Сергеев-Ценский|sfw
00:53|0 часов 53 минуты|Баг тем временем уже прошёлся пальцами по клавиатуре "Керулена". Действительно, отметка о том, что цзюйжэнь Берзин Ландсбергис покинул территорию ризницы в 0 часов 53 минуты имела место в охранной системе Патриархии.|Дело жадного варвара|Хольм ван Зайчик|sfw
01:00|час ночи|В час ночи два чемодана были затянуты ремнями. Но выйти из дома нельзя. - Люба, - проговорил Азеф, - потуши везде свет, пусть думают, что лег спать...|Азеф|Роман Гуль|sfw
02:00|с двух часов ночи|Русские войска проходили через Москву с двух часов ночи и до двух часов дня и увлекали за собой последних уезжавших жителей и раненых.|Война и мир. Том 3|Лев Николаевич Толстой|sfw
02:00|два часа ночи|Было два часа ночи. Мале подошел к дверям кордегардии Десятой когорты Национальной гвардии Парижа. -- Кто идет? -- окликнул часовой. -- "Конспирация"... -- .."Кампания"! -- ответил Мале, и перед ним широко распахнулись ворота столичной казармы.|Исторические миниатюры|Валентин Пикуль|sfw
02:00|два часа ночи|Я взглянул на часы. Было два часа ночи, я не слишком твердо держался на ногах, да и в голове изрядно шумело.|Земля обетованная|Эрих Мария Ремарк|sfw
